tilt,key_resp.keys,key_resp.corr, ,hit,miss,FA,cr,,respond YES,Respond NO
4,up,0,,,1,,,Signal present,hit,miss
0,down,0,,,1,,,signal absent,false alarm ,correct rejection
0,up,1,,1,,,,,,
0,up,1,,1,,,,,respond YES,respond NO
0,up,1,,1,,,,signal present ,103,55
2,down,1,,,1,,,signal absent ,28,13
4,up,0,,,1,,,,,
0,up,1,,1,,,,,,
-1,up,0,,,,1,,Prop hit,0.651898734,
0,up,0,,1,,,,Prop fa,0.682926829,
0,up,0,,1,,,,,,
0,up,1,,1,,,,D prime,-0.085447246,
0,up,1,,1,,,,criterian,-0.152502249,(will say yes more)liberal bias
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-5,up,0,,,,1,,,,
0,up,1,,1,,,,,,
-3,down,1,,,,,1,,,
0,down,0,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-4,up,0,,1,,1,,,,
2,up,0,,,1,,,,,
-3,up,0,,,,,,,,
-5,up,0,,,,1,,,,
0,up,1,,1,,,,,,
0,down,0,,,1,,,,,
-5,down,1,,,,,1,,,
0,up,1,,1,,,,,,
2,up,0,,,1,,,,,
0,up,1,,1,,,,,,
-2,up,0,,,,1,,,,
0,down,0,,,1,,,,,
0,up,0,,1,,,,,,
-5,up,0,,,,1,,,,
3,up,0,,,1,,,,,
3,up,0,,,1,,,,,
-5,down,1,,,,,1,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-1,up,0,,,,1,,,,
2,down,1,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-1,up,0,,,,1,,,,
0,up,0,,1,,,,,,
0,up,1,,1,,,,,,
0,down,0,,,1,,,,,
0,down,0,,,1,,,,,
0,down,0,,,1,,,,,
0,up,1,,1,,,,,,
1,down,1,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,0,,1,,,,,,
0,up,0,,1,,,,,,
1,up,0,,,1,,,,,
-4,up,0,,,,1,,,,
2,up,0,,1,,,,,,
0,up,1,,1,,,,,,
-1,up,0,,,,1,,,,
-1,up,0,,,,1,,,,
0,up,1,,1,,,,,,
3,up,0,,1,,,,,,
0,down,0,,,1,,,,,
2,up,0,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
2,up,0,,,1,,,,,
2,up,0,,,1,,,,,
1,up,0,,,1,,,,,
0,up,1,,1,,,,,,
3,up,0,,,1,,,,,
3,up,0,,,1,,,,,
0,up,0,,1,,,,,,
1,up,0,,,1,,,,,
-2,up,0,,,,1,,,,
2,down,1,,,1,,,,,
1,down,1,,,1,,,,,
3,up,0,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-1,up,0,,,,1,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-5,up,0,,,,1,,,,
-5,down,1,,,,,1,,,
3,up,0,,,1,,,,,
0,up,1,,1,,,,,,
0,down,0,,,,1,,,,
0,up,1,,1,,,,,,
-4,down,1,,,,,1,,,
0,down,1,,,1,,,,,
-3,up,0,,,,1,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-4,up,0,,,,1,,,,
0,up,1,,1,,,,,,
-1,up,0,,,,1,,,,
1,up,0,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-4,up,0,,,,1,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
1,up,0,,,1,,,,,
0,up,0,,1,,,,,,
0,up,0,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,0,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
2,up,0,,,1,,,,,
0,down,0,,,1,,,,,
2,up,0,,1,,,,,,
0,up,1,,1,,,,,,
-1,up,0,,,,1,,,,
0,up,1,,1,,,,,,
0,up,0,,1,,,,,,
0,up,1,,1,,,,,,
0,down,0,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
2,up,0,,,1,,,,,
0,up,1,,1,,,,,,
4,up,0,,,1,,,,,
0,up,1,,1,,,,,,
2,up,0,,,1,,,,,
0,up,0,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-3,down,1,,,,,1,,,
1,down,1,,,1,,,,,
0,up,1,,1,,,,,,
-3,up,0,,,,1,,,,
0,up,1,,1,,,,,,
1,up,0,,,1,,,,,
0,down,0,,,1,,,,,
0,down,1,,,1,,,,,
1,up,0,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
3,up,0,,,1,,,,,
4,up,0,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
4,down,1,,,,,1,,,
-1,down,1,,,,,1,,,
0,up,1,,1,,,,,,
-3,up,0,,,,1,,,,
0,up,1,,1,,,,,,
-5,down,1,,,,,1,,,
-1,up,0,,,,1,,,,
0,up,1,,1,,,,,,
-2,up,0,,,,1,,,,
3,down,1,,,,,1,,,
3,up,0,,,1,,,,,
0,up,1,,1,,,,,,
-1,up,0,,,,1,,,,
4,up,0,,,1,,,,,
0,down,0,,,1,,,,,
-5,up,0,,,,1,,,,
0,down,0,,,1,,,,,
-4,up,0,,,,1,,,,
0,up,0,,1,,,,,,
2,up,0,,,1,,,,,
4,up,0,,,1,,,,,
-3,down,1,,,,,1,,,
0,up,0,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
4,up,0,,,,,1,,,
0,up,1,,1,,,,,,
0,down,0,,,1,,,,,
0,down,0,,,1,,,,,
1,down,1,,,1,,,,,
0,down,0,,,1,,,,,
0,up,1,,1,,,,,,
0,up,1,,1,,,,,,
-5,up,0,,,,1,,,,
4,up,0,,,,,1,,,
0,down,0,,,1,,,,,
0,up,1,,1,,,,,,
,,,,103,55,28,13,,,
